espn_id,year,league,division,conference
2529,2012,ncaambb,NCAA Division I,Northeast Conference
2597,2012,ncaambb,NCAA Division I,Northeast Conference
2598,2012,ncaambb,NCAA Division I,Northeast Conference
2681,2012,ncaambb,NCAA Division I,Northeast Conference
2803,2012,ncaambb,NCAA Division I,Northeast Conference
112358,2012,ncaambb,NCAA Division I,Northeast Conference
9,2012,ncaambb,NCAA Division I,Pac-12 Conference
12,2012,ncaambb,NCAA Division I,Pac-12 Conference
24,2012,ncaambb,NCAA Division I,Pac-12 Conference
25,2012,ncaambb,NCAA Division I,Pac-12 Conference
