espn_id,year,league,division,conference
26,2012,ncaambb,NCAA Division I,Pac-12 Conference
30,2012,ncaambb,NCAA Division I,Pac-12 Conference
38,2012,ncaambb,NCAA Division I,Pac-12 Conference
204,2012,ncaambb,NCAA Division I,Pac-12 Conference
254,2012,ncaambb,NCAA Division I,Pac-12 Conference
264,2012,ncaambb,NCAA Division I,Pac-12 Conference
265,2012,ncaambb,NCAA Division I,Pac-12 Conference
2483,2012,ncaambb,NCAA Division I,Pac-12 Conference
44,2012,ncaambb,NCAA Division I,Patriot League
107,2012,ncaambb,NCAA Division I,Patriot League
